epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.107,0.72632,1.22852,1.53154,0.94819,0.87806,0.83654,0.8869,0.75138,0.87313,0.84237,0.88613,0.73386,0.58044,0.98908,0.85913,0.91075,0.00332753,0.00332753,0.00332753
2,356.46,0.70051,1.06495,0.94278,0.93011,0.83631,0.85144,0.88308,0.73754,0.85081,0.84016,0.88246,0.71255,0.60469,1.0347,0.83485,0.92824,0.00659492,0.00659492,0.00659492
3,523.412,0.75253,1.12014,0.88909,0.94931,0.82603,0.84917,0.87663,0.71249,0.8256,0.84743,0.87645,0.70118,0.66302,1.1175,0.77685,0.96896,0.00979631,0.00979631,0.00979631
4,693.89,0.76232,1.15599,0.83783,0.9625,0.85755,0.8061,0.8821,0.72627,0.85909,0.80726,0.88113,0.72172,0.65682,1.07497,0.76709,0.98354,0.009703,0.009703,0.009703
5,861.597,0.72795,1.11236,0.76084,0.95041,0.88318,0.83627,0.89403,0.7599,0.88604,0.83426,0.89358,0.73967,0.59304,1.02245,0.66132,0.93179,0.009604,0.009604,0.009604
6,1031.06,0.70567,1.07356,0.71031,0.94226,0.86472,0.84972,0.89713,0.76821,0.86521,0.84843,0.89563,0.73873,0.58734,1.01636,0.64603,0.92257,0.009505,0.009505,0.009505
7,1229.83,0.6897,1.05483,0.6834,0.93352,0.88494,0.86374,0.90775,0.78262,0.88841,0.86214,0.90627,0.76308,0.55981,0.94402,0.59258,0.92175,0.009406,0.009406,0.009406
8,1382.27,0.67383,1.02598,0.66058,0.92953,0.90041,0.85279,0.91637,0.79787,0.89959,0.85259,0.91483,0.77082,0.54803,0.93121,0.55907,0.90601,0.009307,0.009307,0.009307
9,1500.75,0.66574,1.02688,0.63764,0.92639,0.89643,0.84517,0.9121,0.79266,0.8976,0.84568,0.91138,0.7726,0.54326,0.91368,0.58477,0.90168,0.009208,0.009208,0.009208
10,1605.17,0.65779,1.00387,0.62344,0.92224,0.88418,0.85586,0.909,0.78673,0.88505,0.85612,0.90753,0.76658,0.55264,0.93081,0.58288,0.90971,0.009109,0.009109,0.009109
11,1708.71,0.64763,0.99032,0.61076,0.91923,0.8883,0.86366,0.91652,0.79952,0.89691,0.8606,0.91708,0.77789,0.52746,0.90096,0.55687,0.90202,0.00901,0.00901,0.00901
12,1812.46,0.64384,1.00004,0.60723,0.9145,0.88948,0.87271,0.92171,0.8119,0.89169,0.86975,0.92211,0.78722,0.51182,0.86837,0.5322,0.88632,0.008911,0.008911,0.008911
13,1918.77,0.63163,0.97323,0.58813,0.91122,0.85252,0.84687,0.8979,0.78512,0.85197,0.84584,0.89831,0.75606,0.5193,0.88944,0.63043,0.89412,0.008812,0.008812,0.008812
14,2024.66,0.63367,0.9751,0.58635,0.9121,0.89354,0.88658,0.93647,0.82357,0.89511,0.88685,0.93262,0.79603,0.50398,0.83402,0.49459,0.88607,0.008713,0.008713,0.008713
15,2130.49,0.6246,0.95549,0.57562,0.909,0.90371,0.87724,0.92679,0.8175,0.90787,0.87489,0.92877,0.79239,0.5063,0.84581,0.51402,0.88348,0.008614,0.008614,0.008614
16,2236.7,0.62222,0.9484,0.56835,0.90726,0.88214,0.86862,0.92171,0.81143,0.8822,0.86858,0.92073,0.78272,0.50427,0.8629,0.52312,0.88483,0.008515,0.008515,0.008515
17,2342.06,0.62067,0.95498,0.57119,0.90943,0.89585,0.87995,0.92855,0.82166,0.89436,0.8785,0.92793,0.79161,0.50152,0.8414,0.49785,0.88621,0.008416,0.008416,0.008416
18,2448.81,0.61073,0.94099,0.55644,0.9039,0.90674,0.86926,0.92781,0.82546,0.91277,0.86437,0.92708,0.7954,0.49045,0.83207,0.49404,0.87883,0.008317,0.008317,0.008317
19,2555.24,0.61075,0.92128,0.55154,0.9031,0.89198,0.88066,0.92863,0.82401,0.8957,0.88002,0.92945,0.79662,0.4882,0.82325,0.49388,0.87265,0.008218,0.008218,0.008218
20,2660.77,0.60077,0.91316,0.54671,0.90088,0.91056,0.87651,0.93098,0.83116,0.91255,0.87756,0.93241,0.80377,0.48589,0.82098,0.47885,0.87596,0.008119,0.008119,0.008119
21,2767.21,0.60269,0.91786,0.54285,0.90144,0.88642,0.88256,0.9299,0.82843,0.88665,0.87902,0.92876,0.79945,0.4741,0.82289,0.49755,0.87913,0.00802,0.00802,0.00802
22,2873.72,0.59803,0.91683,0.53729,0.89886,0.89803,0.88286,0.93017,0.82838,0.89895,0.88064,0.92779,0.79738,0.47516,0.84037,0.49023,0.87237,0.007921,0.007921,0.007921
23,2979.87,0.5983,0.90965,0.53454,0.89881,0.90649,0.87395,0.93223,0.83371,0.90865,0.87122,0.93145,0.7964,0.4753,0.82164,0.47261,0.87121,0.007822,0.007822,0.007822
24,3085.73,0.59454,0.8991,0.52677,0.89691,0.90614,0.87691,0.93193,0.83387,0.90662,0.87739,0.93102,0.80782,0.47314,0.7901,0.47465,0.87293,0.007723,0.007723,0.007723
25,3192.97,0.59071,0.89267,0.52398,0.89616,0.90217,0.88431,0.93548,0.8382,0.90671,0.87871,0.93391,0.80582,0.47321,0.80772,0.46467,0.87454,0.007624,0.007624,0.007624
